y_pred_proba,y_true
0.90426344,1
0.91000444,1
0.8185525,1
0.9072475,1
0.80639476,0
0.88865423,0
0.7369665,0
0.8055359,1
0.89715177,1
0.9046319,1
0.890181,1
0.9045172,1
0.91345197,1
0.5021755,0
0.8585907,1
0.876656,1
0.22671711,0
0.90581113,1
0.48576823,1
0.8947024,1
0.8440701,1
0.8866354,1
0.90940017,1
0.7475032,0
0.9088263,1
0.9074022,1
0.5318357,1
0.9104746,1
0.8250146,0
0.60717815,0
0.9044364,1
0.91473025,1
0.8948366,0
0.8607831,0
0.28263864,1
0.7595496,1
0.9063988,1
0.74069613,1
0.75590223,1
0.90840024,0
0.5044514,1
0.35720274,0
0.91212064,1
0.91370964,1
0.2621691,0
0.24840878,0
0.9113137,1
0.7809631,0
0.9127909,1
0.8656762,1
0.9026022,1
0.4363431,0
0.9088211,1
0.3957659,1
0.24140178,0
0.9086744,1
0.8850775,1
0.28598753,0
0.25043717,0
0.6335604,1
0.26941523,0
0.8924417,1
0.39846048,1
0.6437997,1
0.9039465,1
0.16302547,0
0.8924654,1
0.8437833,1
0.88238853,0
0.91334385,1
0.7917136,1
0.91016716,1
0.91494983,1
0.16909735,0
0.67127186,1
0.88783044,0
0.87139523,0
0.32000113,0
0.87942183,0
0.909544,1
0.19778076,0
0.914458,1
0.8208063,0
0.55066186,0
0.8897945,1
0.88975257,1
0.24676977,0
0.9151106,1
0.90036553,1
0.8627841,0
0.89702857,1
0.48163968,0
0.9079761,1
0.90940803,1
0.8287231,0
0.49752608,0
0.9090934,1
0.48909363,0
0.90421504,1
0.8473343,1
0.90281355,1
0.5154051,1
0.90386105,1
0.845365,1
0.90636057,1
0.69539946,0
0.85208607,1
0.9047341,1
0.6248403,0
0.4972148,1
0.90387774,1
0.22044154,0
0.91553843,1
0.9166185,1
0.19004014,0
0.88802475,1
0.87501144,0
0.21013656,0
0.7701107,1
0.88942605,1
0.90839845,1
0.81859493,1
0.6550571,0
0.8040401,0
0.7665397,0
0.8927782,1
0.90814227,1
0.9123648,1
0.16284676,0
0.19885984,0
0.9044464,1
0.9090561,1
0.68039936,0
0.9013733,1
0.9103735,1
0.17785451,0
0.9133977,1
0.71736985,0
0.8981661,1
0.9094434,1
0.2440937,0
0.9136673,1
0.9113149,1
0.90068656,1
0.9142866,1
0.9053816,1
0.15750884,0
0.9064218,1
0.8901701,1
0.9061968,1
0.9136939,1
0.50315654,0
0.88085365,1
0.3478653,1
0.91859686,1
0.29217753,0
0.89800304,1
0.9058342,1
0.8132679,1
0.897592,1
0.8358087,0
0.520842,0
0.88171864,1
0.894662,1
0.17946582,0
0.19666927,0
0.9052599,1
0.90401524,1
0.913828,1
0.66544324,1
0.33350548,0
0.91171074,1
0.39457965,0
0.39219508,0
0.8838827,1
0.25470853,0
0.8935524,1
0.9026974,1
0.900085,1
0.8050913,0
0.9119402,1
0.8682923,1
0.9156987,1
0.6117426,0
0.91175526,1
0.91308016,1
0.89501476,1
0.84895176,1
0.5794876,0
0.8659506,0
0.87312144,1
0.54897493,0
0.30494997,0
0.909718,1
0.51202136,1
0.91723025,1
0.19807306,0
0.91252196,1
0.8974531,1
0.40665302,0
0.8532152,1
0.6255094,0
0.5234022,0
0.91370106,1
0.9123359,1
0.9038763,1
0.8820454,0
0.9028532,1
0.893589,1
0.6644914,0
0.9088902,1
0.9132806,1
0.5579327,0
0.9074298,1
0.902352,1
0.9137813,1
0.82308453,1
0.38989025,0
0.2358162,0
0.876135,1
0.80711,1
0.9123222,1
0.9072175,1
0.78839606,0
0.17662178,0
0.65150386,0
0.21511166,0
0.5649007,1
0.9044304,1
0.6883063,0
0.41165438,0
0.911277,1
0.25828508,1
0.9082398,1
0.91477835,1
0.90815926,1
0.15457962,0
0.91937935,1
0.91234523,1
0.9049142,1
0.91019577,1
0.9131573,1
0.91635627,1
0.8849587,1
0.9052021,1
0.9057358,1
0.16737595,0
0.6038873,1
0.27512497,0
0.9171956,1
0.9138687,1
0.9115018,1
0.18122226,0
0.9095583,1
0.9163944,1
0.19468616,0
0.85366786,1
0.2430955,0
0.9138021,1
0.88161373,1
0.90898764,1
0.49519244,0
0.60857844,1
0.90844864,1
0.65226364,0
0.22246218,0
0.5109806,1
0.8962738,1
0.7851634,1
0.21248117,0
0.24658203,0
0.17569613,0
0.9135346,1
0.27003708,0
0.43603584,0
0.9024774,1
0.89216846,1
0.76270634,0
0.23792182,0
0.89533997,1
0.64767665,0
0.4964315,0
0.81615967,1
0.6072423,0
0.8671919,1
0.9051301,1
0.894008,1
0.8853011,1
0.8853914,1
0.88616127,1
0.86992306,1
0.8797701,1
0.90657157,1
0.91723216,1
0.82886124,1
0.9068014,1
0.90768164,1
0.44427368,1
0.31421635,0
0.9065359,1
0.91106397,1
0.26081884,0
0.894961,1
0.89326096,1
0.89902604,0
0.9164311,1
0.9042503,1
0.76132864,0
0.89396685,1
0.9045469,1
0.8987257,1
0.6893592,0
0.8883085,1
0.9091169,1
0.9113655,1
0.9167779,1
0.88894254,1
0.91808176,1
0.9101864,0
0.9048454,1
0.89189476,1
0.8973562,1
0.88869774,1
0.88341963,1
0.75026524,1
0.67383677,1
0.8781479,1
0.8688467,1
0.54956275,0
0.5378664,0
0.44674253,0
0.9059715,1
0.7383291,1
0.9108629,1
0.895517,1
0.71470124,0
0.9048769,1
0.88126725,1
0.47863492,0
0.7957832,1
0.91983527,1
0.89934534,1
0.23528413,0
0.85669154,1
0.17807586,0
0.8954855,1
0.9099297,1
0.9016426,1
0.9105037,1
0.88223404,1
0.3390207,0
0.87015814,1
0.9129206,1
0.2873858,0
0.3783538,0
0.90707064,1
0.8974495,1
0.9080645,1
0.898081,1
0.90817386,1
0.90489495,1
0.9143349,1
0.2057269,0
0.9082344,1
0.9117837,1
0.6795582,0
0.9122219,1
0.8352513,0
0.90356505,1
0.91198874,1
0.9144185,1
0.61503357,0
0.90148604,1
0.9103247,1
0.90980905,1
0.91769785,1
0.9068567,1
0.9161913,1
0.91638327,1
0.9124608,1
0.9043563,1
0.91191596,1
0.9079661,1
0.90214264,1
0.1737639,0
0.9069729,1
0.73693746,1
0.8702259,0
0.91155386,1
0.83243144,1
0.89068013,1
0.71374655,1
0.8255642,1
0.73993105,1
0.8945079,1
0.89889985,0
0.9102344,1
0.902845,1
0.85525906,1
0.42781678,0
0.8144369,1
0.9156745,1
0.9119677,1
0.8434677,1
0.89114714,1
0.90106314,1
0.9061206,1
0.37048656,1
0.8970222,1
0.9151371,1
0.8929793,1
0.90069693,1
0.9155841,1
0.79302424,1
0.41683078,1
0.52297753,1
0.9115182,1
0.89302677,1
0.9168587,1
0.91695577,1
0.9071795,1
0.8965317,1
0.9168083,1
0.9052028,1
0.91107714,1
0.90557903,1
0.7963482,1
0.8730534,1
0.24812917,0
0.9144487,1
0.52965397,0
0.90997887,1
0.1915234,0
0.19884813,0
0.9047392,1
0.7984813,1
0.49782553,0
0.4684368,0
0.90814936,1
0.7436179,1
0.80408376,1
0.89765835,1
0.9119409,1
0.91544497,1
0.9001915,1
0.67399424,1
0.8417166,1
0.90495795,1
0.91380733,1
0.8857503,1
0.70832676,1
0.6032819,0
0.24343018,0
0.49352846,0
0.90973616,1
0.20437165,0
0.89314,1
0.17508577,0
0.26773617,0
0.5187585,1
0.4255085,0
0.8975816,1
0.204494,1
0.9016119,1
0.2229313,0
0.8836889,1
0.18677948,0
0.89703524,1
0.8426307,0
0.20943637,1
0.7898073,1
0.23686114,0
0.49955902,0
0.84126014,1
0.9124242,1
0.36774856,0
0.78288627,1
0.8726794,1
0.34650087,0
0.8957697,1
0.8849212,0
0.90696234,1
0.89327395,1
0.8892188,1
0.65837735,1
0.9076419,1
0.9057388,1
0.9066288,1
0.7693676,1
0.89513266,1
0.9115179,1
0.67097944,1
0.2119268,0
0.8537876,1
0.18108295,0
0.88049126,1
0.2020195,1
0.1537354,0
0.91181844,1
0.89358485,1
0.19276252,0
0.16084422,0
0.56640095,1
0.790878,1
0.1776761,0
0.90824634,1
0.70004416,1
0.20131718,0
0.8947976,1
0.6174698,0
0.7073246,0
0.19660628,0
0.8475415,1
0.77420825,1
0.90273315,1
0.90903634,1
0.8998953,1
0.9028635,1
0.9124058,1
0.8189312,0
0.9035128,1
0.22674635,0
0.25191212,1
0.89008504,1
0.53409344,0
0.76952547,1
0.7645686,1
0.72467345,1
0.9139328,1
0.8812863,1
0.9132125,1
0.8608778,1
0.90596086,1
0.53039503,0
0.6842496,0
0.92147607,1
0.91204375,1
0.66186965,0
0.22671795,0
0.22462808,0
0.8159737,0
0.8668318,0
0.67635447,0
0.90131634,1
0.21199499,1
0.48828134,0
0.86839193,0
0.48828134,1
0.8617465,0
0.86153144,0
0.8770048,1
0.5580463,0
0.8832164,1
0.7852756,1
0.86431026,1
0.89151573,1
0.73364997,1
0.8000005,1
0.8815107,1
0.89781135,1
0.9011909,1
0.9001129,1
0.91189003,1
0.5540104,1
0.90530664,1
0.83277553,1
0.90548414,1
0.26496956,0
0.7267167,0
0.8946191,0
0.79743314,1
0.76886225,1
0.85158026,1
0.79869837,1
0.53217214,1
0.8848116,1
0.89338857,1
0.8906476,0
0.8797456,0
0.23645201,1
0.24365239,1
0.6669162,1
0.84841865,1
0.8848497,1
0.8848497,0
0.89985526,0
0.84954435,1
0.87925434,0
0.8797842,0
0.84954435,0
0.86827177,1
0.7357052,1
0.54769117,1
0.9085153,1
0.69111884,0
0.88068974,0
0.8833982,1
0.6310452,0
0.42471686,0
0.9049738,1
0.8839335,1
0.899944,1
0.86364454,1
0.8687332,1
0.3545422,1
0.7812584,0
0.45350647,0
0.8970799,1
0.17232858,0
0.9145603,1
0.9138158,1
0.9045187,1
0.90797216,1
0.1657017,0
0.2877178,0
0.87750477,1
0.5630445,0
0.8855441,1
0.1382145,0
0.7901005,1
0.1330748,0
0.81940985,1
0.14343508,0
0.9115173,1
0.31479666,0
0.27316734,0
0.8916069,1
0.90897816,1
0.8864425,1
0.90532607,1
0.2768651,0
0.8985022,0
0.5197801,1
0.48905167,1
0.70090973,1
0.86645144,1
0.79315805,1
0.70624995,0
0.7155342,1
0.9074442,1
0.834578,0
0.88433915,1
0.90086204,1
0.8631204,1
0.8555943,1
0.5005604,0
0.53577095,1
0.85468477,1
0.8712513,0
0.8582994,0
0.8101822,1
0.49559435,1
0.30860397,1
0.87151116,1
0.35235575,1
0.88109905,1
0.33146223,1
0.6906316,0
0.39201468,0
0.7800166,0
0.86501235,0
0.5922062,0
0.9041096,1
0.47820726,0
0.8808039,1
0.8829884,1
0.89151496,1
0.89469063,1
0.8439366,1
0.9022924,1
0.89962333,1
0.89747524,1
0.7368694,0
0.8170064,1
0.7957739,0
0.8095743,0
0.7208032,0
0.8399372,1
0.80924875,1
0.902627,1
0.91327554,1
0.91237813,1
0.88348496,1
0.8964265,1
0.9073904,1
0.3626463,0
0.89258784,1
0.44975647,1
0.8953251,1
0.8957205,1
0.90023726,1
0.90226716,1
0.4478607,1
0.17737828,0
0.25810042,0
0.22442506,0
0.20907898,0
0.9124204,1
0.73557025,1
0.8761913,1
0.26488024,0
0.90032953,0
0.3203501,0
0.8941652,1
0.54483145,0
0.8857713,1
0.91625446,1
0.23462474,0
0.2100567,0
0.20678397,0
0.9123622,1
0.8986899,1
0.884095,1
0.90695524,1
0.5684676,0
0.91284734,1
0.9135689,1
0.8605758,1
0.8608988,0
0.9051372,1
0.6706609,0
0.9131071,1
0.9077303,1
0.88163966,1
0.89634365,1
0.20343713,0
0.89183694,0
0.8685571,1
0.3794267,1
0.31405935,0
0.3273534,0
0.401782,1
0.90388364,1
0.2881836,0
0.5688867,1
0.8989631,1
0.8964804,1
0.62158597,1
0.8525664,1
0.90206015,1
0.14372346,0
0.25555727,0
0.8398264,1
0.62662494,0
0.8900143,1
0.8870804,1
0.201057,0
0.90269166,1
0.83964175,0
0.1554269,0
0.90287536,1
0.17118816,0
0.89082164,1
0.90900373,1
0.72261745,0
0.8673504,0
0.8890172,1
0.21157677,0
0.8884842,1
0.90074366,1
0.91289485,1
0.9107938,1
0.9107872,1
0.90296596,1
0.8905892,1
0.89397573,1
0.896409,1
0.8692436,1
0.8838909,1
0.90868884,1
0.91477835,1
0.912868,1
0.8961363,1
0.8792696,1
0.9024302,1
0.9040276,1
0.82918614,1
0.8948698,1
0.90952396,1
0.81854165,1
0.8914669,1
0.3022215,1
0.5630808,1
0.19013157,0
0.9018303,1
0.3649201,0
0.90814155,1
0.61630934,0
0.51151925,1
0.9019868,1
0.911849,1
0.914631,1
0.91419804,1
0.9143387,1
0.9162492,1
0.9167046,1
0.91336644,1
0.91131365,1
0.90690327,1
0.91368324,1
0.911465,1
0.90559876,1
0.91189784,1
0.9108162,1
0.8331129,1
0.90992355,1
0.9065675,1
0.32367444,0
0.91408443,1
0.15763012,0
0.16398259,0
0.89499456,1
0.44293556,0
0.39111084,0
0.90260935,1
0.40308324,0
0.22061215,0
0.9078749,1
0.541086,0
0.30069348,0
0.8254262,1
0.90922683,1
0.90857834,1
0.73703265,0
0.35045657,0
0.34940463,0
0.9075436,1
0.23476413,0
0.1665688,0
0.33646426,1
0.90655583,1
0.91676086,1
0.30285603,0
0.90937865,1
0.9125209,1
0.9138531,1
0.18203326,0
0.9130661,1
0.89781064,1
0.18629238,0
0.17283644,0
0.18832713,0
0.8720581,1
0.8937748,1
0.86199266,1
0.5631464,0
0.92202586,1
0.915603,1
0.29416522,0
0.73636544,1
0.152373,0
0.90318453,1
0.38702545,0
0.8897048,1
0.90281373,1
0.9044029,1
0.4473346,1
0.5773922,1
0.9102073,1
0.5036847,0
0.3291087,0
0.89013785,1
0.8958227,1
0.89873344,1
0.5065975,0
0.907506,1
0.83415264,1
0.91253847,1
0.16332613,0
0.5569841,0
0.8299387,0
0.88144344,1
0.9074259,1
0.9084053,1
0.91484684,1
0.90233153,1
0.90964985,1
0.53369063,1
0.9190323,1
0.7713463,1
0.29218766,0
0.90818083,1
0.8931242,1
0.90547085,1
0.8753337,0
0.9114607,1
0.9110064,1
0.47547412,0
0.9108286,1
0.3596134,0
0.85797447,0
0.7773271,0
0.91655654,1
0.91874915,1
0.9179885,1
0.9156588,1
0.85859597,1
0.89166564,1
0.89671165,1
0.34077057,1
0.7063836,1
0.81372225,1
0.9023797,1
0.90853757,1
0.8628789,1
0.8484541,1
0.16890012,0
0.15966561,0
0.9117817,1
0.90395755,1
0.9114755,1
0.18515763,0
0.22481866,0
0.6371316,0
0.91295904,1
0.6760414,0
0.91109574,1
0.9060761,1
0.9045688,1
0.77554435,0
0.91541594,1
0.16928919,0
0.16503896,0
0.25380158,0
0.9149763,1
0.90613604,1
0.54905254,0
0.9034239,1
0.91832525,1
0.9125658,1
0.21458451,0
0.90149176,1
0.89299786,1
0.8897824,1
0.37475115,0
0.8954336,1
0.91479844,1
0.90303975,1
0.46590024,0
0.2878408,0
0.8912463,1
0.9077325,1
0.90783894,1
0.8778187,1
0.91269934,1
0.90586513,1
0.8797743,1
0.26849326,0
0.41278288,0
0.91122353,1
0.9072262,1
0.90456676,1
0.8897878,1
0.90865624,1
0.8796324,1
0.89957255,1
0.813131,1
0.89933074,1
0.89554566,1
0.9030703,1
0.8604021,1
0.9097002,1
0.61434394,0
0.1917638,0
0.6175577,1
0.911558,1
0.8705622,1
0.7414786,1
0.26611668,1
0.9107979,1
0.8154966,1
0.7475723,1
0.22210811,1
0.3607008,0
0.3951144,0
0.87727827,1
0.8523415,1
0.91266745,1
0.91012937,1
0.7284147,0
0.8298631,0
0.90251106,1
0.9077827,1
0.886713,1
0.9114699,1
0.210534,1
0.9074804,1
0.9153636,1
0.917836,1
0.91509897,1
0.46664438,0
0.21729615,0
0.18157771,0
0.8691993,1
0.91364604,1
0.89107364,1
0.8989666,1
0.9165657,1
0.8124754,1
0.7944657,1
0.83214206,0
0.26321083,1
0.9212357,1
0.34191564,1
0.6686177,1
0.6621526,1
0.87796575,1
0.38245174,1
0.9169844,1
0.18652202,1
0.26601493,0
0.7518644,0
0.17693733,0
0.28074747,0
0.44288036,0
0.7667374,1
0.32791272,0
0.18851703,0
0.82985556,1
0.90044546,1
0.41793123,0
0.8060997,1
0.9022856,0
0.9058525,1
0.8959517,1
0.87698776,1
0.90681994,1
0.9151989,1
0.86485064,0
0.89025766,1
0.8725824,1
0.33904424,0
0.8022211,1
0.9064215,1
0.87396955,1
0.8844944,1
0.89829713,1
0.89033204,1
0.8911602,1
0.88727504,1
0.90511525,0
0.46460876,1
0.4924077,1